"Query","Titulo","DOI","Revista","Abstract"
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Research on imaging method of gas-liquid interface in aerospace propellant tanks based on ultrasonic tomography","10.1088/1361-6501/adcce5","Scopus","  The world has seen in 2020 an unprecedented global outbreak of SARS-CoV-2, a new strain of coronavirus, causing the COVID-19 pandemic, and radically changing our lives and work conditions. Many scientists are working tirelessly to find a treatment and a possible vaccine. Furthermore, governments, scientific institutions and companies are acting quickly to make resources available, including funds and the opening of large-volume data repositories, to accelerate innovation and discovery aimed at solving this pandemic. In this paper, we develop a novel automated theme-based visualisation method, combining advanced data modelling of large corpora, information mapping and trend analysis, to provide a top-down and bottom-up browsing and search interface for quick discovery of topics and research resources. We apply this method on two recently released publications datasets (Dimensions' COVID-19 dataset and the Allen Institute for AI's CORD-19). The results reveal intriguing information including increased efforts in topics such as social distancing; cross-domain initiatives (e.g. mental health and education); evolving research in medical topics; and the unfolding trajectory of the virus in different territories through publications. The results also demonstrate the need to quickly and automatically enable search and browsing of large corpora. We believe our methodology will improve future large volume visualisation and discovery systems but also hope our visualisation interfaces will currently aid scientists, researchers, and the general public to tackle the numerous issues in the fight against the COVID-19 pandemic. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Capacitive and Non-Contact Liquid Level Detection Sensor Based on Interdigitated Electrodes with Flexible Substrate","10.3390/electronics13112228","Scopus","  In this paper, a capacitive flexible tactile sensor was designed to measure the pressure of objects based on MEMS technology. This sensor is a structure of a 4x4 array, with metal Ag as the capacitive electrode, which forms the tactile sensing unit of the sensor. The structure of capacitive flexible tactile sensor was designed and an experimental platform was established to test the performance. The tests show that when the thickness of the intermediate layer is 2 mm and the density is medium, the sensor's sensitivity is the best while the time of both the response and the rebound is fast. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Noninvasive Flow Bubble Detection for Small Pipes Based on Piezoelectric Micromachined Ultrasonic Transducers","10.1109/NEMS60219.2024.10639848","Scopus","  Ultrasonic transducer is a sensor that realizes the mutual conversion of ultrasonic and electrical signals, and it is widely used in quality inspection, biomedical imaging and other fields. Commonly used ultrasonic transducers have a small detection range and low sensitivity due to the diffraction of sound waves. Focused transducers are used to improve detection sensitivity. Unfortunately, focused transducers have narrow depth of field. Here, we developed a Bessel ultrasonic transducer for large depth of field by using conical acoustic lens. An acoustic lens is attached to a unfocused ultrasonic. And the acoustic lens is a cuboid prism with a concave cone on the bottom, made of fused silica. Similar to an axicon that can generate a Bessel beam, the Bessel ultrasonic transducer can produce nondiffracting Bessel ultrasonic beams. Therefore, extended depth of field with uniformly high resolution and high detection sensitivity can be obtained. We used COMSOL to simulate the transmission of ultrasonic field of the designed conical acoustic lens, and compare it with the spherical focused ultrasonic transducer. The results show that the depth of field of the Bessel ultrasonic transducer is about 8 times that of the conventional spherical focused ultrasonic transducer. And the depth of field of the Bessel ultrasonic transducer can be further adjusted by adjusting the cone angle of the conical acoustic lens. The Bessel ultrasonic transducer will help improve the capabilities of the ultrasound probe and expand its application range. For example, an ultrasonic probe with a large depth of field will expand the imaging depth of photoacoustic microscopy and enhance its ability in non-destructive testing. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Noninvasive fluid bubble detection based on capacitive micromachined ultrasonic transducers","10.1038/s41378-023-00491-6","Scopus","  Capacitive Micromachined Ultrasonic Transducer (CMUT) has a wild range of applications in medical detecting and imaging fields. However, operating under self-generating-self-receiving (SGSR) method usually results in poor sensitivity. But the sensitivity cannot be improved simply by increasing the resonant frequency since the frequency of a specific kind of CMUT is designed for specific usage. In this paper, based on one specific type of CMUT, mechanical model is built and simulation analysis is demonstrated. A brand-new method one-generating-multiple-receiving (OGMR) is introduced and a special circuit model has been designed to improve the signal to thermal noise ratio. By increasing the number of receiving capacitors from 1 to 8, we increased the signal-noise ratio to 2.83 times. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Research on imaging method of gas-liquid interface in aerospace propellant tanks based on ultrasonic tomography","10.1088/1361-6501/adcce5","Scopus","  The world has seen in 2020 an unprecedented global outbreak of SARS-CoV-2, a new strain of coronavirus, causing the COVID-19 pandemic, and radically changing our lives and work conditions. Many scientists are working tirelessly to find a treatment and a possible vaccine. Furthermore, governments, scientific institutions and companies are acting quickly to make resources available, including funds and the opening of large-volume data repositories, to accelerate innovation and discovery aimed at solving this pandemic. In this paper, we develop a novel automated theme-based visualisation method, combining advanced data modelling of large corpora, information mapping and trend analysis, to provide a top-down and bottom-up browsing and search interface for quick discovery of topics and research resources. We apply this method on two recently released publications datasets (Dimensions' COVID-19 dataset and the Allen Institute for AI's CORD-19). The results reveal intriguing information including increased efforts in topics such as social distancing; cross-domain initiatives (e.g. mental health and education); evolving research in medical topics; and the unfolding trajectory of the virus in different territories through publications. The results also demonstrate the need to quickly and automatically enable search and browsing of large corpora. We believe our methodology will improve future large volume visualisation and discovery systems but also hope our visualisation interfaces will currently aid scientists, researchers, and the general public to tackle the numerous issues in the fight against the COVID-19 pandemic. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Capacitive and Non-Contact Liquid Level Detection Sensor Based on Interdigitated Electrodes with Flexible Substrate","10.3390/electronics13112228","Scopus","  In this paper, a capacitive flexible tactile sensor was designed to measure the pressure of objects based on MEMS technology. This sensor is a structure of a 4x4 array, with metal Ag as the capacitive electrode, which forms the tactile sensing unit of the sensor. The structure of capacitive flexible tactile sensor was designed and an experimental platform was established to test the performance. The tests show that when the thickness of the intermediate layer is 2 mm and the density is medium, the sensor's sensitivity is the best while the time of both the response and the rebound is fast. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Noninvasive Flow Bubble Detection for Small Pipes Based on Piezoelectric Micromachined Ultrasonic Transducers","10.1109/NEMS60219.2024.10639848","Scopus","  Ultrasonic transducer is a sensor that realizes the mutual conversion of ultrasonic and electrical signals, and it is widely used in quality inspection, biomedical imaging and other fields. Commonly used ultrasonic transducers have a small detection range and low sensitivity due to the diffraction of sound waves. Focused transducers are used to improve detection sensitivity. Unfortunately, focused transducers have narrow depth of field. Here, we developed a Bessel ultrasonic transducer for large depth of field by using conical acoustic lens. An acoustic lens is attached to a unfocused ultrasonic. And the acoustic lens is a cuboid prism with a concave cone on the bottom, made of fused silica. Similar to an axicon that can generate a Bessel beam, the Bessel ultrasonic transducer can produce nondiffracting Bessel ultrasonic beams. Therefore, extended depth of field with uniformly high resolution and high detection sensitivity can be obtained. We used COMSOL to simulate the transmission of ultrasonic field of the designed conical acoustic lens, and compare it with the spherical focused ultrasonic transducer. The results show that the depth of field of the Bessel ultrasonic transducer is about 8 times that of the conventional spherical focused ultrasonic transducer. And the depth of field of the Bessel ultrasonic transducer can be further adjusted by adjusting the cone angle of the conical acoustic lens. The Bessel ultrasonic transducer will help improve the capabilities of the ultrasound probe and expand its application range. For example, an ultrasonic probe with a large depth of field will expand the imaging depth of photoacoustic microscopy and enhance its ability in non-destructive testing. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Noninvasive fluid bubble detection based on capacitive micromachined ultrasonic transducers","10.1038/s41378-023-00491-6","Scopus","  Capacitive Micromachined Ultrasonic Transducer (CMUT) has a wild range of applications in medical detecting and imaging fields. However, operating under self-generating-self-receiving (SGSR) method usually results in poor sensitivity. But the sensitivity cannot be improved simply by increasing the resonant frequency since the frequency of a specific kind of CMUT is designed for specific usage. In this paper, based on one specific type of CMUT, mechanical model is built and simulation analysis is demonstrated. A brand-new method one-generating-multiple-receiving (OGMR) is introduced and a special circuit model has been designed to improve the signal to thermal noise ratio. By increasing the number of receiving capacitors from 1 to 8, we increased the signal-noise ratio to 2.83 times. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Improved phase fraction measurement via non-intrusive optical sensing for vertical upward gas -liquid flow","10.1016/j.jgsce.2023.204948","Scopus","  In a previous work we have demonstrated the feasibility of high-frame-rate, fast-neutron radiography of generic air-water two-phase flows in a 1.5 cm thick, rectangular flow channel. The experiments have been carried out at the high-intensity, white-beam facility of the Physikalisch-Technische Bundesanstalt, Germany, using an multi-frame, time-resolved detector developed for fast neutron resonance radiography. The results were however not fully optimal and therefore we have decided to modify the detector and optimize it for the given application, which is described in the present work. Furthermore, we managed to improve the image post-processing methodology and the noise suppression. Using the tailored detector and the improved post-processing significant increase in the image quality and an order of magnitude lower exposure times, down to 3.33 ms, have been achieved with minimized motion artifacts. Similar to the previous study, different two-phase flow regimes such as bubbly slug and churn flows have been examined. The enhanced imaging quality enables an improved prediction of two-phase flow parameters like the instantaneous volumetric gas fraction, bubble size and bubble velocities. Instantaneous velocity fields around the gas enclosures can also be more robustly predicted using optical flow methods as previously. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Bubble-Templated Design of Superelastic Cellulose Foam as a Durable Ionotropic Sensor","10.1021/acssuschemeng.1c07830.s001","CrossRef","  Flexible pressure sensors are an attractive area of research due to their potential applications in biomedical sensing and wearable devices. Among flexible and wearable pressure sensors, capacitive pressure sensors show significant advantages, owing to their potential low cost, ultra-low power consumption, tolerance to temperature variations, high sensitivity, and low hysteresis. In this work, we develop capacitive flexible pressure sensors using graphene based conductive foams. In these soft and porous conductive foams, graphene is present either as a coating of the pores in the foam, inside the structure of the foam itself, or a combination of both. We demonstrate that they are durable and sensitive at low pressure ranges (<10 kPa). Systematic analysis of the different pressure sensors revealed that the porous foams with graphene coated pores are the most sensitive (~ 0.137/kPa) in the pressure range 0-6kPa. Additionally, we achieved very low limit of detection of 0.14 Pa, which is one of the lowest values reported. Further, we demonstrated the potential applications of our pressure sensors by showing detection of weak physiological signals of the body. Our work is highly relevant for research in flexible pressure sensors based on conductive foams as it shows the impact of different ways of incorporating conductive material on performance of pressure sensors. "
